sample	organelle_type	fastq_format	mean_error_rate	trim_percent	trim_int	trim_chars	mean_read_len	max_read_len	num_reads_1	seed_read_filesize	estimated_base_coverage	closest_seed	unmapped_percentage	unmapped_lengths	num_reads_2	w	k	max_extending_len	pre_w	mem_dup	mem_used	n_unique_reads	n_reads	n_bases	dup_used	mem_group	rounds	accepted_lines	accepted_words	mem_extending	circular	degenerate_base_used	library_size	library_deviation	library_left	library_right	res_kmer	res_kmer_cov	res_base_cov	res_path_count	res_len	time	mem_spades	mem_max
w0.30P0--SRR4428742-plastome	embplant_pt	Illumina 1.8+	0.0061	0.00%	33..33	!	100	100	2500000+2500000	11058876	432.8					30		inf		1920924123		4355099	5000000	500000000			24	0	142	4765266214												2976.89		16418586230
w0.30P0spades-minimum--SRR4428742-plastome	embplant_pt	Illumina 1.8+	0.0061	0.00%	33..33	!	100	100	2500000+2500000	11058876	432.8					30	"35,75"	inf		1918776639		4355099	5000000	500000000			2	2942984	123651437	14871324262	yes	no	155.698	12.1828	141	170	75	99.53	382.819	2	152978	8551.96	2147483648	14871324262
w0.30P0spades-unlimited--SRR4428742-plastome	embplant_pt	Illumina 1.8+	0.0061	0.00%	33..33	!	100	100	2500000+2500000	11058876	432.8					30	"35,75"	inf		1917702897		4355099	5000000	500000000			24	3121546	136429763	15923591249	yes	no	155.717	12.1786	141	170	75	99.532	382.827	2	152978	9668.41	3221225472	15923591249
w0.30P2E5--SRR4428742-plastome	embplant_pt	Illumina 1.8+	0.0061	0.00%	33..33	!	100	100	2500000+2500000	11058876	432.8					30		inf	30	1920924123	1713691951	4355099	5000000	500000000	200000/226166	1986422374	24	0	142	5147518304												2801.87		17273284722
w0.30P2E5spades-minimum--SRR4428742-plastome	embplant_pt	Illumina 1.8+	0.0061	0.00%	33..33	!	100	100	2500000+2500000	11058876	432.8					30	"35,75"	inf	30	1916629155	1709396983	4355099	5000000	500000000	200000/226166	1987496116	1	2426767	95591860	12603581530	yes	no	155.348	12.2176	141	170	75	99.513	382.754	2	152978	7403.41	2147483648	12603581530
w0.30P2E5spades-unlimited--SRR4428742-plastome	embplant_pt	Illumina 1.8+	0.0061	0.00%	33..33	!	100	100	2500000+2500000	11058876	432.8					30	"35,75"	inf	30	1916629155	1708323241	4355099	5000000	500000000	200000/226166	1987496116	24	3121546	136429763	16105053618	yes	no	155.717	12.1786	141	170	75	99.532	382.827	2	152978	11303.97	3221225472	16105053618
w0.35P0--SRR4428742-plastome	embplant_pt	Illumina 1.8+	0.0061	0.00%	33..33	!	100	100	2500000+2500000	11058876	432.8					35		inf		1916629155		4355099	5000000	500000000			27	0	1034	4002909519												2801.19		15031311794
w0.35P0spades-minimum--SRR4428742-plastome	embplant_pt	Illumina 1.8+	0.0061	0.00%	33..33	!	100	100	2500000+2500000	11058876	432.8					35	"35,75"	inf		1917702897		4355099	5000000	500000000			2	2706487	116327670	14957223608	yes	no	155.688	12.2106	141	170	75	99.469	382.584	2	152978	8160.58	2147483648	14957223608
w0.35P0spades-unlimited--SRR4428742-plastome	embplant_pt	Illumina 1.8+	0.0061	0.00%	33..33	!	100	100	2500000+2500000	11058876	432.8					35	"35,75"	inf		1916629155		4355099	5000000	500000000			27	2968981	131994176	16493748158	yes	no	155.797	12.1793	141	170	75	99.528	382.811	2	152978	11140	2147483648	16493748158
w0.35P2E5--SRR4428742-plastome	embplant_pt	Illumina 1.8+	0.0061	0.00%	33..33	!	100	100	2500000+2500000	11058876	432.8					35		inf	35	1916629155	1708323241	4355099	5000000	500000000	200000/226166	2011118436	27	0	1034	4575213912												4238.09		16359530430
