
/data/jinjianjun/.pyenv/versions/3.6.5/bin/round_statistics.py -f w0.75P0spades-unlimited--SRR4428742-plastome/embplant_pt.K75.complete.graph1.1.path_sequence.fasta -d w0.75P2E5-rbcL--SRR4428742-plastome/intermediate_reads -i w0.75P2E5-rbcL--SRR4428742-plastome/seed/embplant_pt.initial.fq -o w0.75P2E5-rbcL--SRR4428742-plastome/round_statistics -R 1000 -t 8 --max-coverage-tick 800 --draw

2019-09-22 19:46:35,066 - INFO: 96 paired fastq files found. 1000 rounds required.
2019-09-22 19:46:35,066 - INFO: #Round	Round_Covered_T0	Round_Covered_T10	Cumulative_Covered_T0	Cumulative_Covered_T10	Other_reads	Other_percentage
2019-09-22 19:46:35,688 - INFO: embplant_pt.initial.fq	0.0020525827243133	0.0010459020251277961	0.0020525827243133	0.0010459020251277961	0	0.0
2019-09-22 19:46:41,820 - INFO: Round.1	0.11333655819791082	0.11280707029768987	0.11333655819791082	0.11280707029768987	53	0.0009724056949948627
2019-09-22 19:47:16,070 - INFO: Round.2	0.8837479899070455	0.8317012903816235	0.9400828877354914	0.9394684202957287	329	0.001146381407017666
2019-09-22 19:47:55,423 - INFO: Round.3	0.874289113467296	0.8621697237511277	0.9776307704375793	0.9765979421877655	547	0.0021315646931832793
2019-09-22 19:47:58,514 - INFO: Round.4	0.10932944606413994	0.04426126632587692	1.0	0.9999346311234295	534	0.04117193523515806
2019-09-22 19:47:59,009 - INFO: Round.5	0.036613107767129914	0.021728614572029965	1.0	0.9999346311234295	610	0.30730478589420657
2019-09-22 19:47:59,306 - INFO: Round.6	0.007092523107897868	0.0021114147132267383	1.0	0.9999346311234295	782	0.8836158192090395
2019-09-22 19:47:59,591 - INFO: Round.7	0.002980820771614219	0.0003856763717658748	1.0	0.9999346311234295	768	0.9636135508155583
2019-09-22 19:47:59,869 - INFO: Round.8	0.0011439553399835271	0.0	1.0	0.9999346311234295	783	0.9923954372623575
2019-09-22 19:48:00,157 - INFO: Round.9	0.0011047340140412348	0.00018303285439736432	1.0	0.9999346311234295	690	0.9829059829059829
2019-09-22 19:48:00,440 - INFO: Round.10	0.0010981971263841859	0.0005033403495927519	1.0	0.9999346311234295	456	0.96
2019-09-22 19:48:00,723 - INFO: Round.11	0.001791107218031351	0.0004575821359934108	1.0	0.9999346311234295	516	0.9662921348314607
2019-09-22 19:48:01,005 - INFO: Round.12	0.0015492423747205481	0.0005033403495927519	1.0	0.9999346311234295	513	0.9661016949152542
2019-09-22 19:48:01,292 - INFO: Round.13	0.0014642628351789146	0.0003529919334806312	1.0	0.9999346311234295	471	0.9534412955465587
2019-09-22 19:48:01,577 - INFO: Round.14	0.0006536887657048726	0.0	1.0	0.9999346311234295	446	0.9889135254988913
2019-09-22 19:48:01,862 - INFO: Round.15	0.0	0.0	1.0	0.9999346311234295	527	1.0
2019-09-22 19:48:02,144 - INFO: Round.16	0.0	0.0	1.0	0.9999346311234295	579	1.0
2019-09-22 19:48:02,432 - INFO: Round.17	0.0	0.0	1.0	0.9999346311234295	461	1.0
2019-09-22 19:48:02,718 - INFO: Round.18	0.0	0.0	1.0	0.9999346311234295	357	1.0
2019-09-22 19:48:03,000 - INFO: Round.19	0.0	0.0	1.0	0.9999346311234295	640	1.0
2019-09-22 19:48:03,283 - INFO: Round.20	0.0	0.0	1.0	0.9999346311234295	481	1.0
2019-09-22 19:48:03,567 - INFO: Round.21	0.0	0.0	1.0	0.9999346311234295	420	1.0
2019-09-22 19:48:03,849 - INFO: Round.22	0.0	0.0	1.0	0.9999346311234295	276	1.0
2019-09-22 19:48:04,136 - INFO: Round.23	0.0	0.0	1.0	0.9999346311234295	379	1.0
2019-09-22 19:48:04,421 - INFO: Round.24	0.0	0.0	1.0	0.9999346311234295	458	1.0
2019-09-22 19:48:04,708 - INFO: Round.25	0.0	0.0	1.0	0.9999346311234295	508	1.0
2019-09-22 19:48:04,994 - INFO: Round.26	0.0	0.0	1.0	0.9999346311234295	356	1.0
2019-09-22 19:48:05,275 - INFO: Round.27	0.0	0.0	1.0	0.9999346311234295	302	1.0
2019-09-22 19:48:05,554 - INFO: Round.28	0.0	0.0	1.0	0.9999346311234295	187	1.0
2019-09-22 19:48:05,832 - INFO: Round.29	0.0	0.0	1.0	0.9999346311234295	220	1.0
2019-09-22 19:48:06,111 - INFO: Round.30	0.0	0.0	1.0	0.9999346311234295	256	1.0
2019-09-22 19:48:06,390 - INFO: Round.31	0.0	0.0	1.0	0.9999346311234295	467	1.0
2019-09-22 19:48:06,670 - INFO: Round.32	0.0	0.0	1.0	0.9999346311234295	403	1.0
2019-09-22 19:48:06,957 - INFO: Round.33	0.0	0.0	1.0	0.9999346311234295	360	1.0
2019-09-22 19:48:07,240 - INFO: Round.34	0.0	0.0	1.0	0.9999346311234295	267	1.0
2019-09-22 19:48:07,520 - INFO: Round.35	0.0	0.0	1.0	0.9999346311234295	253	1.0
2019-09-22 19:48:07,804 - INFO: Round.36	0.0	0.0	1.0	0.9999346311234295	224	1.0
2019-09-22 19:48:08,088 - INFO: Round.37	0.0	0.0	1.0	0.9999346311234295	225	1.0
2019-09-22 19:48:08,375 - INFO: Round.38	0.0	0.0	1.0	0.9999346311234295	247	1.0
2019-09-22 19:48:08,662 - INFO: Round.39	0.0	0.0	1.0	0.9999346311234295	304	1.0
2019-09-22 19:48:08,950 - INFO: Round.40	0.0	0.0	1.0	0.9999346311234295	320	1.0
2019-09-22 19:48:09,239 - INFO: Round.41	0.0	0.0	1.0	0.9999346311234295	266	1.0
2019-09-22 19:48:09,527 - INFO: Round.42	0.0	0.0	1.0	0.9999346311234295	262	1.0
2019-09-22 19:48:09,814 - INFO: Round.43	0.0	0.0	1.0	0.9999346311234295	241	1.0
2019-09-22 19:48:10,101 - INFO: Round.44	0.0	0.0	1.0	0.9999346311234295	182	1.0
2019-09-22 19:48:10,392 - INFO: Round.45	0.0	0.0	1.0	0.9999346311234295	130	1.0
2019-09-22 19:48:10,682 - INFO: Round.46	0.0	0.0	1.0	0.9999346311234295	126	1.0
2019-09-22 19:48:10,974 - INFO: Round.47	0.0	0.0	1.0	0.9999346311234295	179	1.0
2019-09-22 19:48:11,263 - INFO: Round.48	0.0	0.0	1.0	0.9999346311234295	103	1.0
2019-09-22 19:48:11,554 - INFO: Round.49	0.0	0.0	1.0	0.9999346311234295	96	1.0
2019-09-22 19:48:11,843 - INFO: Round.50	0.0	0.0	1.0	0.9999346311234295	75	1.0
2019-09-22 19:48:12,126 - INFO: Round.51	0.0	0.0	1.0	0.9999346311234295	77	1.0
2019-09-22 19:48:12,413 - INFO: Round.52	0.0	0.0	1.0	0.9999346311234295	111	1.0
2019-09-22 19:48:12,700 - INFO: Round.53	0.0	0.0	1.0	0.9999346311234295	121	1.0
2019-09-22 19:48:12,988 - INFO: Round.54	0.0	0.0	1.0	0.9999346311234295	115	1.0
2019-09-22 19:48:13,275 - INFO: Round.55	0.0	0.0	1.0	0.9999346311234295	82	1.0
2019-09-22 19:48:13,560 - INFO: Round.56	0.0	0.0	1.0	0.9999346311234295	137	1.0
2019-09-22 19:48:13,847 - INFO: Round.57	0.0	0.0	1.0	0.9999346311234295	107	1.0
2019-09-22 19:48:14,131 - INFO: Round.58	0.0	0.0	1.0	0.9999346311234295	47	1.0
2019-09-22 19:48:14,416 - INFO: Round.59	0.0	0.0	1.0	0.9999346311234295	81	1.0
2019-09-22 19:48:14,700 - INFO: Round.60	0.0	0.0	1.0	0.9999346311234295	66	1.0
2019-09-22 19:48:14,986 - INFO: Round.61	0.0	0.0	1.0	0.9999346311234295	90	1.0
2019-09-22 19:48:15,273 - INFO: Round.62	0.0	0.0	1.0	0.9999346311234295	146	1.0
2019-09-22 19:48:15,558 - INFO: Round.63	0.0	0.0	1.0	0.9999346311234295	61	1.0
2019-09-22 19:48:15,843 - INFO: Round.64	0.0	0.0	1.0	0.9999346311234295	71	1.0
2019-09-22 19:48:16,126 - INFO: Round.65	0.0	0.0	1.0	0.9999346311234295	49	1.0
2019-09-22 19:48:16,412 - INFO: Round.66	0.0	0.0	1.0	0.9999346311234295	75	1.0
2019-09-22 19:48:16,700 - INFO: Round.67	0.0	0.0	1.0	0.9999346311234295	86	1.0
2019-09-22 19:48:16,988 - INFO: Round.68	0.0	0.0	1.0	0.9999346311234295	142	1.0
2019-09-22 19:48:17,274 - INFO: Round.69	0.0	0.0	1.0	0.9999346311234295	110	1.0
