sample	organelle_type	fastq_format	mean_error_rate	trim_percent	trim_int	trim_chars	mean_read_len	max_read_len	num_reads_1	seed_read_filesize	estimated_base_coverage	closest_seed	unmapped_percentage	unmapped_lengths	num_reads_2	w	k	max_extending_len	pre_w	mem_dup	mem_used	n_unique_reads	n_reads	n_bases	dup_used	mem_group	rounds	accepted_lines	accepted_words	mem_extending	circular	degenerate_base_used	library_size	library_deviation	library_left	library_right	res_kmer	res_kmer_cov	res_base_cov	res_path_count	res_len	time	mem_spades	mem_max
auto--ERR1917165-plastome	embplant_pt	Sanger	0.033	0.00%	33..33	!	301	301	4086825+4086825	272537974	1106.08				1847431+1847431	146	"21,55,91,127"	inf	146	2539399413	2371895689	3675633	3694862	1112153462	13443/13443	2413771620	10	243448	61427458	14871324262	yes	no	531.924	172.163	323	796	127	340.367	585.431	2	86749	3642.29		14871324262
auto--ERR2206741-plastome	embplant_pt	Illumina 1.8+	0.0102	0.00%	33..33	!	101	101	10000000+10000000	39487576	88.18					56	"21,55,91"	inf	56	4694399254	4197256790	19653252	20000000	2020000000	200000/216062	5127117209	10	200020	1317161	1373315792	no	no	337.82	74.88	258	402	91	12.918	118.889	6	33975+159960	3323.44		5127117209
auto--ERR268390-plastome	embplant_pt	Illumina 1.8+	0.0306	0.00%	33..33	!	101	101	10000000+10000000	62528942	222.36					50	"21,55,91"	inf	50	5200131653	4704062930	19451033	20000000	2020000000	200000/459887	6434934751	10	4516416	130966780	20032801210	yes	no	400.907	140.886	218	587	91	26.104	239.819	15	124132	13423.2		20032801210
auto--ERR964904-plastome	embplant_pt	Illumina 1.8+	0.0243	0.00%	33..33	!	101	101	8664415+8664415	1497186	67.57					49	"21,55,91"	inf	49	4162897051	3938485010	12452100	17328830	1750211830	200000/900760	5563056390	10	5759341	127309638	19872813678	no	no	474.609	33.6647	449	508	91	6.242	57.337	1	1809+6048+6428+8945+13297+18749+21617+38800	16302.37		19872813678
auto--SRR1145775-plastome	embplant_pt	Illumina 1.8+	0.0064	0.00%	33..33	!	100	100	10000000+10000000	27004196	138.32					60	"21,55,91"	inf	60	4744865120	4248796397	19850967	20000000	2000000000	115051/115051	4508641918	10	240291	2724730	680752316	yes	no	235.028	97.0371	136	368	91	14.824	148.317	2	127693	2964.48		4744865120
auto--SRR2037123-plastome	embplant_pt	Illumina 1.8+	0.0229	0.00%	33..33	!	101	101	3087286+3087286	14004486	994.44				1552266+1552266	75	"21,55,91"	inf	75	1071594340	962072674	2767219	3104532	313557732	151870/151870	1122060206	10	178386	1382418	625991483	yes	no	183.896	65.9371	111	274	91	24.514	225.445	1	129971	741.86		1122060206
auto--SRR2057084-plastome	embplant_pt	Illumina 1.8+	0.0022	0.00%	33..33	!	100	100	3713045+3713045	263772834	942.18				1970460+1970460	75	"21,55,91"	inf	75	1278826512	1080184274	3066655	3940920	394092000	200000/264572	1513975971	10	169658	1848018	1341103538	no	no	508.821	13.7186	492	526	91	55.689	556.89	1	92+100+114+130+1201+1460+1881+2688+4072+7101+10181+25404+27409+52508	1499.19		1513975971
auto--SRR4428742-plastome	embplant_pt	Illumina 1.8+	0.0061	0.00%	33..33	!	100	100	4268123+4268123	219665480	698.27				3056226+3056226	74	"21,55,91"	inf	74	1952062636	1734093045	5271273	6112452	611245200	200000/273534	1945620185	10	185027	1960348	914828034	yes	no	154.437	11.9786	140	169	91	42.744	427.474	2	152978	1481.37		1952062636
auto--SRR5028199-plastome	embplant_pt	Illumina 1.8+	0.0105	0.00%	33..33	!	151	151	10000000+10000000	14167418	50.13					73	"21,55,91,127"	inf	73	4929548713	4432406249	17412337	20000000	3020000000	200000/2152404	9656160223	10	2231042	121620616	22160957505	yes	no	388.645	118.62	264	542	91	27.604	68.332	15	124200	18420.33		22160957505
auto--SRR5602572-plastome	embplant_pt	Sanger	0.0123	0.00%	33..33	!	294.9	300	2532608+2532608	42288030	189.93					142	"21,55,91,127"	inf	142	3302829850	3095597678	4939420	5065216	1493732198	59931/59931	3768833802	10	880289	73773710	17076789968	yes	no	554.312	152.094	372	751	127	126.636	221.097	2	155188	8353.52		17076789968
auto--SRR5602573-plastome	embplant_pt	Sanger	0.022	0.00%	33..33	!	290	300	1257524+1257524	56227172	206.26					137	"21,55,91,127"	inf	137	1651414925	1567663063	2432190	2515048	729363920	20048/20048	1728724336	10	127007	19491324	4539780431	no	no	498.671	142.716	325	686	91	202.031	292.94	1	10997+20345+41587+52698	1721.46		4539780431
auto--SRR5602574-plastome	embplant_pt	Sanger	0.0209	0.00%	33..33	!	243.5	301	5197414+5197414	8658454	25.59					54	"21,55,91,127"	inf	54	5315022028	4915590070	8482281	10394828	2531140618	200000/1890870	11318312566	1	2707422	400523022	62576599760	no	no	276.143	109.558	163	425	127	14.539	30.131	1	5869+18431+24296+78437	49597.45		62576599760
auto--SRR5602575-plastome	embplant_pt	Sanger	0.0183	0.00%	33..33	!	272.8	301	3101240+3101240	13100756	39.1					113	"21,55,91,127"	inf	113	3623878656	3405909065	5581979	6202480	1692036544	200000/486345	8722004836	10	448489	59336866	13756780249	no	no	363.715	135.619	204	551	127	24.889	46.246	2	152224	7516.89		13756780249
auto--SRR5602576-plastome	embplant_pt	Sanger	0.0042	0.00%	33..33	!	248.9	250	970715+970715	5163492	17.11					49	"21,55,91,127"	inf	49	1181116006	1097364144	1930606	1941430	483221927	10621/10621	1445256495	10	913899	142246848	19905025933	yes	no	471.303	136.904	308	652	127	8.986	18.198	2	151845	16109.2		19905025933
auto--SRR5602577-plastome	embplant_pt	Sanger	0.0022	0.00%	33..33	!	226.5	250	4911880+4911880	19670968	67.83					139	"21,55,91,127"	inf	139	4189740597	3787087413	7995912	9823760	2225081640	200000/1030396	8400956030	10	40091	1795676	1971389988	no	no	430.116	152.882	217	623	127	32.123	72.404	2	152240	2875.02		8400956030
auto--SRR5602578-plastome	embplant_pt	Sanger	0.0046	0.00%	33..33	!	245.8	250	961923+961923	8176040	27.24					82	"21,55,91,127"	inf	82	1160714911	1076963049	1881098	1923846	472881346	38681/38681	2070174236	10	271091	33012129	6125697105	yes	no	474.133	146.657	280	660	127	14.113	28.961	2	151937	2661.9		6125697105
auto--SRR5602579-plastome	embplant_pt	Sanger	0.0218	0.00%	33..33	!	263	300	1669371+1669371	12654968	37.05					105	"21,55,91,127"	inf	105	2149631131	1910186704	3253099	3338742	878089146	955/955	1937030250	10	167381	19936406	3934190043	no	no	266.016	90.4458	161	386	127	24.533	47.102	2	152339	3613.68		3934190043
auto--SRR5602581-plastome	embplant_pt	Sanger	0.0046	0.00%	33..33	!	248	250	1099311+1099311	7086714	23.27					55	"21,55,91,127"	inf	55	1390495662	1306743799	2174600	2198622	545258256	23441/23441	1885490642	10	894569	131812848	18912888487	no	no	473.216	140.34	300	654	127	12.246	24.898	2	152185	13727.77		18912888487
auto--SRR5602582-plastome	embplant_pt	Sanger	0.0058	0.00%	33..33	!	245.2	250	1285872+1285872	40987202	228.66					154	"21,55,91,127"	inf	154	1418412949	1334661087	2477246	2571744	630591628	34316/34316	1419486691	10	114842	5858558	1748051689	yes	no	577.622	146.205	396	764	127	98.815	203.273	2	157764	1039.55		1748051689
auto--SRR5602583-plastome	embplant_pt	Sanger	0.0164	0.00%	33..33	!	294.7	300	470765+470765	7060782	16.65					49	"21,55,91,127"	inf	49	690415992	648540061	930981	941530	277468891	8621/8621	836444880	10	395427	66362630	9512278818	yes	no	461.033	144.452	297	652	127	14.786	25.83	2	160683	11884.2		9512278818
auto--SRR5602584-plastome	embplant_pt	Sanger	0.0067	0.00%	33..33	!	248.2	250	1699048+1699048	35900334	147.79					122	"21,55,91,127"	inf	122	2029372047	1861868322	3355350	3398096	843407427	34543/34543	2159294808	10	88028	5819568	1590211641	yes	no	607.863	155.504	409	798	127	73.754	149.812	2	152355	1541.47		2159294808
auto--SRR5602585-plastome	embplant_pt	Sanger	0.0125	0.00%	33..33	!	293	300	1821150+1821150	26178964	126.94					138	"21,55,91,127"	inf	138	2440615165	2215129382	3526054	3642300	1067193900	45483/45483	2836825899	10	438486	37999318	8891656044	yes	no	557.197	153.061	375	754	127	69.274	121.527	2	158987	4235.07		8891656044
auto--SRR5602586-plastome	embplant_pt	Sanger	0.0025	0.00%	33..33	!	249.4	250	424930+424930	5073892	21.76					49	"21,55,91,127"	inf	49	568009424	526133493	848174	849860	211955084	1624/1624	563714457	10	434979	56295664	8369817518	yes	no	698.824	138.762	535	878	127	10.65	21.522	2	156863	5368.57		8369817518
auto--SRR5602587-plastome	embplant_pt	Sanger	0.005	0.00%	33..33	!	239.6	250	907178+907178	3422922	11.87					49	"21,55,91,127"	inf	49	1065151889	981400027	1727297	1814356	434719697	85206/85206	4148938407	10	766819	116183456	17971216908	yes	no	380.918	120.235	226	534	91	7.775	12.452	2	151869	13056.1		17971216908
auto--SRR5602588-plastome	embplant_pt	Sanger	0.0135	0.00%	33..33	!	297.9	300	1600124+1600124	31708734	126.96					140	"21,55,91,127"	inf	140	2246267895	2078764171	3172111	3200248	953353879	12057/12057	2162516033	8	66974	5361320	1359357149	yes	no	637.835	159.454	456	853	127	74.184	128.562	2	160034	1383.88		2246267895
auto--SRR5602589-plastome	embplant_pt	Sanger	0.0137	0.00%	33..33	!	298.1	300	1744003+1744003	34752796	138.39					141	"21,55,91,127"	inf	141	2412697878	2173253451	3457285	3488006	1039774588	20735/20735	2473901162	10	76119	5776460	1632087572	yes	no	606.89	165.528	409	826	127	81.734	141.562	2	160136	1719.65		2473901162
auto--SRR5602590-plastome	embplant_pt	Sanger	0.0205	0.00%	33..33	!	296.3	300	1447023+1447023	42972772	201.33					140	"21,55,91,127"	inf	140	2024003338	1856499613	2861574	2894046	857505829	12064/12064	1974611214	7	117771	15423872	3726957871	yes	no	523.349	138.377	357	705	127	128.482	223.539	2	153974	1631.98		3726957871
auto--SRR5602591-plastome	embplant_pt	Sanger	0.017	0.00%	33..33	!	296.7	300	1342936+1342936	21761324	97.07					136	"21,55,91,127"	inf	136	1816771166	1733019303	2659115	2685872	796898222	9664/9664	1789927620	10	66396	8870100	2158221066	yes	no	541.746	139.338	378	722	127	67.985	118.169	2	161503	1593.1		2158221066
auto--SRR5602592-plastome	embplant_pt	Sanger	0.0047	0.00%	33..33	!	246.9	250	1951892+1951892	29560690	152.89					132	"21,55,91,127"	inf	132	2050846883	1883343159	3835621	3903784	963844269	31193/31193	2166811000	10	112862	6338142	1714765692	yes	no	551.424	135.591	381	720	127	85.25	174.091	2	159921	1688.1		2166811000
