EDGE	database	loci	loci_gene_sequential	loci_sequential	details
10092	embplant_pt	ndhB	ndhB>>52828	ndhB>>52828	ndhB(790-864,embplant_pt)>>52828
10646	embplant_pt	psaA	psaA>>52798	psaA>>52798	psaA(1-144,embplant_pt)>>52798
10958	embplant_pt	ycf2	ycf2>>13646	ycf2>>13646	ycf2(1-251,embplant_pt)>>13646
1324	embplant_pt	rpl2	rpl2>>52028	rpl2>>52028	rpl2(1-75,embplant_pt)>>52028
13646	embplant_pt	ycf2	ycf2>>51922	ycf2>>51922	ycf2(1-114,embplant_pt)>>51922
13974	embplant_pt	psbB	psbB>>52774	psbB>>52774	psbB(1-266,embplant_pt)>>52774
14440	embplant_pt	rpoC1	rpoC1>>52768	rpoC1>>52768	rpoC1(1-375,embplant_pt)>>52768
3230	embplant_pt	psaA	psaA>>52840	psaA>>52840	psaA(1-216,embplant_pt)>>52840
3232	embplant_pt	psaA	psaA>>52840	psaA>>52840	psaA(1-75,embplant_pt)>>52840
3270	embplant_pt	psaA	psaA>>52628	psaA>>52628	psaA(1-316,embplant_pt)>>52628
4386	embplant_pt	ndhB	ndhB>>52828	ndhB>>52828	ndhB(1032-1401,embplant_pt)>>52828
464	embplant_pt	rbcL	rbcL>>52822	rbcL>>52822	rbcL(1-277,embplant_pt)>>52822
46882	embplant_pt	rps4	rps4>>52050	rps4>>52050	rps4(940-1113,embplant_pt)>>52050
47880	embplant_pt	rps4	rps4>>48680	rps4>>48680	rps4(22-142,embplant_pt)>>48680
48306	embplant_pt	ndhK	ndhK>>52726	ndhK>>52726	ndhK(68-265,embplant_pt)>>52726
48680	embplant_pt	rps4	rps4>>47880	rps4>>47880	rps4(1-311,embplant_pt)>>47880
48938	embplant_pt	ycf2	ycf2>>52804	ycf2>>52804	ycf2(1-591,embplant_pt)>>52804
49876	embplant_pt	rrn23	rrn23>>52732	rrn23>>52732	rrn23(3993-4476,embplant_pt)>>52732
49894	embplant_pt	ycf2	ycf2>>52172	ycf2>>52172	ycf2(1-168,embplant_pt)>>52172
50060	embplant_mt;embplant_pt	rps13;rrn23	rps13>>rrn23>>52744	rps13>>rrn23>>52744	rps13(182-532,embplant_mt)>>rrn23(828-902,embplant_pt)>>52744
50282	embplant_pt	rpoC2	rpoC2>>52702	rpoC2>>52702	rpoC2(1-300,embplant_pt)>>52702
50898	embplant_pt	rpl2	rpl2>>52244	rpl2>>52244	rpl2(85-159,embplant_pt)>>52244
50924	embplant_pt	ycf3	ycf3>>52780	ycf3>>52780	ycf3(31-175,embplant_pt)>>52780
50964	embplant_pt	rbcL	rbcL>>52822	rbcL>>52822	rbcL(1-609,embplant_pt)>>52822
51322	embplant_mt;embplant_pt	ND2,nad2;ycf2	nad2>>ND2>>ycf2>>13646	nad2>>ND2>>ycf2>>13646	nad2(624-1045,embplant_mt)>>ND2(653-1042,embplant_mt)>>ycf2(7226-7300,embplant_pt)>>13646
51372	embplant_mt	nad3,rps12,sdh3	sdh3>>nad3>>rps12	sdh3>>nad3>>rps12	sdh3(1-174,embplant_mt)>>nad3(767-1123,embplant_mt)>>rps12(1172-1549,embplant_mt)
51418	embplant_pt	rpoC1	rpoC1>>52604	rpoC1>>52604	rpoC1(6-383,embplant_pt)>>52604
51452	embplant_pt	psaA	psaA>>52840	psaA>>52840	psaA(1-291,embplant_pt)>>52840
51536	embplant_pt	psbC	psbC>>52094	psbC>>52094	psbC(1-124,embplant_pt)>>52094
51622	embplant_pt	ycf3	ycf3>>13324	ycf3>>13324	ycf3(5376-5527,embplant_pt)>>13324
51754	embplant_pt	rrn23	rrn23>>52744	rrn23>>52744	rrn23(678-752,embplant_pt)>>52744
51922	embplant_pt	ycf2	ycf2>>13646	ycf2>>13646	ycf2(1-287,embplant_pt)>>13646
51952	embplant_pt	psbC	psbC	psbC	psbC(1-124,embplant_pt)
51960	embplant_pt	ndhB,ycf15,ycf2	ndhB>>ycf15>>ycf2>>52804	ndhB>>ycf15>>ycf2>>52804	ndhB(1-1087,embplant_pt)>>ycf15(2165-2267,embplant_pt)>>ycf2(2383-2815,embplant_pt)>>52804
51990	embplant_pt	rps4	rps4>>52050	rps4>>52050	rps4(1283-1451,embplant_pt)>>52050
51994	embplant_mt;embplant_pt	sdh3;ycf2	ycf2>>sdh3>>52238	ycf2>>sdh3>>52238	ycf2(6-185,embplant_pt)>>sdh3(1338-1540,embplant_mt)>>52238
52028	embplant_pt	rpl23	rpl23>>50898	rpl23>>50898	rpl23(136-417,embplant_pt)>>50898
52030	embplant_pt	rpoC1	rpoC1	rpoC1	rpoC1(125-901,embplant_pt)
52050	embplant_pt	rps4	rps4>>48680	rps4>>48680	rps4(15-230,embplant_pt)>>48680
52094	embplant_pt	psbZ	psbZ>>52628	psbZ>>52628	psbZ(88-231,embplant_pt)>>52628
