EDGE	database	loci	loci_gene_sequential	loci_sequential	details
10294	embplant_pt	rrn23	rrn23	rrn23	rrn23(1-484,embplant_pt)
11372	embplant_pt	ndhB	ndhB>>45206	ndhB>>45206	ndhB(1-315,embplant_pt)>>45206
11680	embplant_pt	ycf2	ycf2>>43794	ycf2>>43794	ycf2(1-114,embplant_pt)>>43794
11970	embplant_pt	psbB	psbB>>45218	psbB>>45218	psbB(1-266,embplant_pt)>>45218
2828	embplant_pt	psaA	psaA>>45212	psaA>>45212	psaA(1-216,embplant_pt)>>45212
2830	embplant_pt	psaA	psaA>>45212	psaA>>45212	psaA(1-75,embplant_pt)>>45212
3712	embplant_pt	rps12_2	rps12_2	rps12_2	rps12_2(1-91,embplant_pt)
402	embplant_pt	rbcL	rbcL>>45200	rbcL>>45200	rbcL(1-277,embplant_pt)>>45200
42052	embplant_pt	rps4	rps4>>45110	rps4>>45110	rps4(1-311,embplant_pt)>>45110
42158	embplant_pt	rrn23	rrn23>>45128	rrn23>>45128	rrn23(660-734,embplant_pt)>>45128
42386	embplant_pt	ycf2	ycf2>>45206	ycf2>>45206	ycf2(1-397,embplant_pt)>>45206
43386	embplant_mt;embplant_pt	rps13;rrn23	rps13>>rrn23>>45128	rps13>>rrn23>>45128	rps13(1-270,embplant_mt)>>rrn23(566-640,embplant_pt)>>45128
43614	embplant_mt;embplant_pt	rrnL;rrn16	rrn16>>rrnL	rrn16>>rrnL	rrn16(101-373,embplant_pt)>>rrnL(1584-1760,embplant_mt)
43700	embplant_mt;embplant_pt	rrnS;rrn16	rrnS>>rrn16>>rrnS>>rrn16	rrnS>>rrn16>>rrnS>>rrn16	rrnS(1-382,embplant_mt)>>rrn16(9-270,embplant_pt)>>rrnS(493-1363,embplant_mt)>>rrn16(640-1272,embplant_pt)
43722	embplant_pt	ycf2	ycf2	ycf2	ycf2(1-75,embplant_pt)
43794	embplant_pt	ycf2	ycf2>>45054	ycf2>>45054	ycf2(1-287,embplant_pt)>>45054
44174	embplant_pt	psbZ	psbZ>>45098	psbZ>>45098	psbZ(1-144,embplant_pt)>>45098
44240	embplant_pt	rbcL	rbcL>>45200	rbcL>>45200	rbcL(1-609,embplant_pt)>>45200
44296	embplant_pt	psaA	psaA>>45182	psaA>>45182	psaA(1-291,embplant_pt)>>45182
44324	embplant_pt	ycf2	ycf2>>45054	ycf2>>45054	ycf2(1-393,embplant_pt)>>45054
44382	embplant_pt	rpl2	rpl2>>44736	rpl2>>44736	rpl2(95-458,embplant_pt)>>44736
44598	embplant_pt	ycf2	ycf2>>44736	ycf2>>44736	ycf2(1-4920,embplant_pt)>>44736
44702	embplant_mt;embplant_pt	rrnL;rrn23,rrn4.5,rrn5	rrn5>>rrn4.5>>rrn23>>rrnL>>45128	rrn5>>rrn4.5>>rrn23>>rrnL>>45128	rrn5(984-1104,embplant_pt)>>rrn4.5(1329-1430,embplant_pt)>>rrn23(1531-2263,embplant_pt)>>rrnL(1562-2081,embplant_mt)>>45128
44736	embplant_pt	rpl2,rpl23	rpl2>>rpl23>>44598	rpl2>>rpl23>>44598	rpl2(1-1200,embplant_pt)>>rpl23(1227-1508,embplant_pt)>>44598
