EDGE	database	loci	loci_gene_sequential	loci_sequential	details
10804	embplant_pt	psaA	psaA>>53562	psaA>>53562	psaA(1-144,embplant_pt)>>53562
11122	embplant_pt	ycf2	ycf2>>13892	ycf2>>13892	ycf2(1-251,embplant_pt)>>13892
11886	embplant_pt	rpoC1	rpoC1	rpoC1	rpoC1(125-294,embplant_pt)
12254	embplant_pt	rrn23	rrn23	rrn23	rrn23(1-484,embplant_pt)
12856	embplant_pt	rrn23	rrn23>>53514	rrn23>>53514	rrn23(455-529,embplant_pt)>>53514
1322	embplant_pt	rpl2	rpl2>>52768	rpl2>>52768	rpl2(1-75,embplant_pt)>>52768
13892	embplant_pt	ycf2	ycf2>>52666	ycf2>>52666	ycf2(1-114,embplant_pt)>>52666
13894	embplant_pt	ycf2	ycf2	ycf2	ycf2(1-75,embplant_pt)
14234	embplant_pt	psbB	psbB>>53538	psbB>>53538	psbB(1-266,embplant_pt)>>53538
14712	embplant_pt	rpoC1	rpoC1>>53532	rpoC1>>53532	rpoC1(1-375,embplant_pt)>>53532
3280	embplant_pt	psaA	psaA>>53598	psaA>>53598	psaA(1-216,embplant_pt)>>53598
3282	embplant_pt	psaA	psaA>>53598	psaA>>53598	psaA(1-75,embplant_pt)>>53598
3320	embplant_pt	psaA	psaA>>53386	psaA>>53386	psaA(1-316,embplant_pt)>>53386
4338	embplant_pt	rps12_2	rps12_2	rps12_2	rps12_2(1-91,embplant_pt)
450	embplant_pt	rbcL	rbcL>>53580	rbcL>>53580	rbcL(1-277,embplant_pt)>>53580
46072	embplant_pt	rps12_2	rps12_2>>53440	rps12_2>>53440	rps12_2(248-319,embplant_pt)>>53440
46532	embplant_pt	rrn16	rrn16	rrn16	rrn16(258-530,embplant_pt)
47716	embplant_pt	rps4	rps4>>52788	rps4>>52788	rps4(446-619,embplant_pt)>>52788
48696	embplant_pt	rps4	rps4>>49472	rps4>>49472	rps4(22-142,embplant_pt)>>49472
49110	embplant_pt	ndhK	ndhK>>53484	ndhK>>53484	ndhK(68-265,embplant_pt)>>53484
49218	embplant_pt	ycf2	ycf2	ycf2	ycf2(6-185,embplant_pt)
49472	embplant_pt	rps4	rps4>>48696	rps4>>48696	rps4(1-311,embplant_pt)>>48696
49716	embplant_pt	ycf2	ycf2>>53574	ycf2>>53574	ycf2(1-591,embplant_pt)>>53574
50664	embplant_pt	ycf2	ycf2>>52906	ycf2>>52906	ycf2(1-168,embplant_pt)>>52906
51046	embplant_pt	rpoC2	rpoC2>>53478	rpoC2>>53478	rpoC2(1-300,embplant_pt)>>53478
51156	embplant_mt;embplant_pt	rrnS;rrn16	rrnS>>rrn16	rrnS>>rrn16	rrnS(50-749,embplant_mt)>>rrn16(197-653,embplant_pt)
51652	embplant_pt	rpl2	rpl2>>52984	rpl2>>52984	rpl2(85-159,embplant_pt)>>52984
51678	embplant_pt	ycf3	ycf3>>53544	ycf3>>53544	ycf3(31-175,embplant_pt)>>53544
51718	embplant_pt	rbcL	rbcL>>53580	rbcL>>53580	rbcL(1-609,embplant_pt)>>53580
52170	embplant_pt	rpoC1	rpoC1>>53362	rpoC1>>53362	rpoC1(6-383,embplant_pt)>>53362
52204	embplant_pt	psaA	psaA>>53598	psaA>>53598	psaA(1-291,embplant_pt)>>53598
5248	embplant_pt	rrn23	rrn23	rrn23	rrn23(1-75,embplant_pt)
52666	embplant_pt	ycf2	ycf2>>13892	ycf2>>13892	ycf2(1-287,embplant_pt)>>13892
52704	embplant_pt	ndhB,ycf15,ycf2	ndhB>>ycf15>>ycf2>>53574	ndhB>>ycf15>>ycf2>>53574	ndhB(1-1087,embplant_pt)>>ycf15(2165-2267,embplant_pt)>>ycf2(2383-2815,embplant_pt)>>53574
52732	embplant_pt	rps4	rps4>>52788	rps4>>52788	rps4(1283-1451,embplant_pt)>>52788
52768	embplant_pt	rpl23	rpl23>>51652	rpl23>>51652	rpl23(136-417,embplant_pt)>>51652
52788	embplant_pt	rps4	rps4>>49472	rps4>>49472	rps4(15-230,embplant_pt)>>49472
52832	embplant_pt	psbZ	psbZ>>53386	psbZ>>53386	psbZ(88-231,embplant_pt)>>53386
52866	embplant_pt	atpB,atpE,ndhC,ndhK	atpB>>atpE>>ndhC>>ndhK>>53484	atpB>>atpE>>ndhC>>ndhK>>53484	atpB(703-2199,embplant_pt)>>atpE(2196-2585,embplant_pt)>>ndhC(4350-4712,embplant_pt)>>ndhK(4682-5443,embplant_pt)>>53484
52882	embplant_mt;embplant_pt	rrnL;rrn23,rrn4.5,rrn5	rrn23>>rrnL>>rrn4.5>>rrn5>>53604	rrn23>>rrnL>>rrn4.5>>rrn5>>53604	rrn23(1-733,embplant_pt)>>rrnL(183-702,embplant_mt)>>rrn4.5(834-935,embplant_pt)>>rrn5(1160-1280,embplant_pt)>>53604
52906	embplant_pt	ycf2	ycf2>>53574	ycf2>>53574	ycf2(1-587,embplant_pt)>>53574
52926	embplant_pt	rpl2	rpl2>>52984	rpl2>>52984	rpl2(95-458,embplant_pt)>>52984
52984	embplant_pt	rpl2	rpl2>>51652	rpl2>>51652	rpl2(1-1200,embplant_pt)>>51652
53008	embplant_pt	rps12_2,rps7	rps7>>rps12_2>>53440	rps7>>rps12_2>>53440	rps7(151-618,embplant_pt)>>rps12_2(672-772,embplant_pt)>>53440
53092	embplant_pt	petN,psbM,rpoB,rpoC1	rpoC1>>rpoB>>petN>>psbM>>53392	rpoC1>>rpoB>>petN>>psbM>>53392	rpoC1(143-996,embplant_pt)>>rpoB(1025-4235,embplant_pt)>>petN(6295-6384,embplant_pt)>>psbM(7249-9104,embplant_pt)>>53392
53136	embplant_pt	psaA	psaA>>3280	psaA>>3280	psaA(568-772,embplant_pt)>>3280
53178	embplant_pt	infA,petB,petD,psbB,psbH,psbN,psbT,rpl14,rpl16,rpl22,rpl36,rpoA,rps11,rps19,rps3,rps8	rps19>>rpl22>>rps3>>rpl16>>rpl14>>rps8>>infA>>rpl36>>rps11>>rpoA>>petD>>petB>>psbH>>psbN>>psbT>>psbB>>14234	rps19>>rpl22>>rps3>>rpl16>>rpl14>>rps8>>infA>>rpl36>>rps11>>rpoA>>petD>>petB>>psbH>>psbN>>psbT>>psbB>>14234	rps19(41-318,embplant_pt)>>rpl22(417-719,embplant_pt)>>rps3(793-1446,embplant_pt)>>rpl16(2358-2843,embplant_pt)>>rpl14(2984-3352,embplant_pt)>>rps8(3557-3959,embplant_pt)>>infA(4075-4308,embplant_pt)>>rpl36(4405-4518,embplant_pt)>>rps11(4625-5036,embplant_pt)>>rpoA(5115-6110,embplant_pt)>>petD(6311-7557,embplant_pt)>>petB(7772-9161,embplant_pt)>>psbH(9278-9498,embplant_pt)>>psbN(9610-9740,embplant_pt)>>psbT(9802-9908,embplant_pt)>>psbB(10101-10505,embplant_pt)>>14234
53250	embplant_pt	rpoC2	rpoC2>>53532	rpoC2>>53532	rpoC2(3-302,embplant_pt)>>53532
53258	embplant_pt	ccsA,ndhA,ndhD,ndhE,ndhF,ndhG,ndhH,ndhI,psaC,rpl32,rps15,ycf1	ndhF>>rpl32>>ccsA>>ndhD>>psaC>>ndhE>>ndhG>>ndhI>>ndhA>>ndhH>>rps15>>ycf1>>53604	ndhF>>rpl32>>ccsA>>ndhD>>psaC>>ndhE>>ndhG>>ndhI>>ndhA>>ndhH>>rps15>>ycf1>>53604	ndhF(428-1801,embplant_pt)>>rpl32(2227-2380,embplant_pt)>>ccsA(3446-4397,embplant_pt)>>ndhD(4656-6158,embplant_pt)>>psaC(6278-6523,embplant_pt)>>ndhE(6773-7075,embplant_pt)>>ndhG(7295-7820,embplant_pt)>>ndhI(8203-8676,embplant_pt)>>ndhA(8750-10764,embplant_pt)>>ndhH(10789-11970,embplant_pt)>>rps15(12068-12300,embplant_pt)>>ycf1(12719-17073,embplant_pt)>>53604
