EDGE	database	loci	loci_gene_sequential	loci_sequential	details
10954	embplant_pt	rps4	rps4>>68706	rps4>>68706	rps4(1-312,embplant_pt)>>68706
11722	embplant_pt	psaA,rpl2	rpl2>>psaA>>69352	rpl2>>psaA>>69352	rpl2(3-75,embplant_pt)>>psaA(63-130,embplant_pt)>>69352
14014	embplant_pt	psaA	psaA>>69534	psaA>>69534	psaA(1-144,embplant_pt)>>69534
14290	embplant_mt	atp9	atp9>>5632	atp9>>5632	atp9(97-232,embplant_mt)>>5632
14430	embplant_pt	ycf2	ycf2>>18130	ycf2>>18130	ycf2(1-251,embplant_pt)>>18130
15894	embplant_mt	sdh3	sdh3>>68298	sdh3>>68298	sdh3(11-162,embplant_mt)>>68298
1756	embplant_pt	rpl2	rpl2>>68676	rpl2>>68676	rpl2(1-75,embplant_pt)>>68676
18130	embplant_pt	ycf2	ycf2>>68536	ycf2>>68536	ycf2(1-114,embplant_pt)>>68536
18592	embplant_pt	psbB	psbB>>69504	psbB>>69504	psbB(1-266,embplant_pt)>>69504
19232	embplant_pt	rpoC1	rpoC1>>69498	rpoC1>>69498	rpoC1(1-375,embplant_pt)>>69498
4266	embplant_pt	psaA	psaA>>69570	psaA>>69570	psaA(1-216,embplant_pt)>>69570
4268	embplant_pt	psaA	psaA>>69570	psaA>>69570	psaA(1-75,embplant_pt)>>69570
4308	embplant_pt	psaA	psaA>>69352	psaA>>69352	psaA(1-316,embplant_pt)>>69352
5632	embplant_mt	atp9	atp9>>68814	atp9>>68814	atp9(1-161,embplant_mt)>>68814
584	embplant_pt	rbcL	rbcL>>69552	rbcL>>69552	rbcL(1-277,embplant_pt)>>69552
61614	embplant_mt	rps10	rps10>>3824	rps10>>3824	rps10(175-1249,embplant_mt)>>3824
62228	embplant_pt	rps4	rps4>>68706	rps4>>68706	rps4(940-1113,embplant_pt)>>68706
63444	embplant_pt	rps4	rps4>>64416	rps4>>64416	rps4(22-142,embplant_pt)>>64416
63962	embplant_pt	ndhK	ndhK>>69456	ndhK>>69456	ndhK(68-265,embplant_pt)>>69456
64416	embplant_pt	rps4	rps4>>63444	rps4>>63444	rps4(1-311,embplant_pt)>>63444
64740	embplant_pt	ycf2	ycf2>>69546	ycf2>>69546	ycf2(1-591,embplant_pt)>>69546
65918	embplant_pt	rrn23	rrn23>>69462	rrn23>>69462	rrn23(3993-4476,embplant_pt)>>69462
65936	embplant_pt	ycf2	ycf2>>68866	ycf2>>68866	ycf2(1-168,embplant_pt)>>68866
66156	embplant_mt;embplant_pt	rps13;rrn23	rps13>>rrn23>>69510	rps13>>rrn23>>69510	rps13(182-532,embplant_mt)>>rrn23(828-902,embplant_pt)>>69510
66452	embplant_pt	rpoC2	rpoC2>>69418	rpoC2>>69418	rpoC2(1-300,embplant_pt)>>69418
66598	embplant_mt;embplant_pt	rrnS;rrn16	rrnS>>rrn16>>rrnS>>rrn16	rrnS>>rrn16>>rrnS>>rrn16	rrnS(139-680,embplant_mt)>>rrn16(307-568,embplant_pt)>>rrnS(791-2052,embplant_mt)>>rrn16(938-1796,embplant_pt)
67216	embplant_pt	rpl2	rpl2>>68966	rpl2>>68966	rpl2(85-159,embplant_pt)>>68966
67246	embplant_pt	ycf3	ycf3>>69516	ycf3>>69516	ycf3(31-175,embplant_pt)>>69516
67298	embplant_pt	rbcL	rbcL>>69552	rbcL>>69552	rbcL(1-609,embplant_pt)>>69552
67558	embplant_mt	rrn5	rrn5>>4604	rrn5>>4604	rrn5(6144-6259,embplant_mt)>>4604
67796	embplant_mt	cox2	cox2	cox2	cox2(4571-4653,embplant_mt)
67864	embplant_pt	rpoC1	rpoC1>>69334	rpoC1>>69334	rpoC1(6-383,embplant_pt)>>69334
67892	embplant_mt	cox2	cox2>>1474	cox2>>1474	cox2(750-1502,embplant_mt)>>1474
67914	embplant_pt	psaA	psaA>>69570	psaA>>69570	psaA(1-291,embplant_pt)>>69570
68020	embplant_pt	psbC	psbC>>68766	psbC>>68766	psbC(1-124,embplant_pt)>>68766
68104	embplant_mt	rpl5,rps14	rps14>>rpl5>>62032	rps14>>rpl5>>62032	rps14(494-796,embplant_mt)>>rpl5(798-1352,embplant_mt)>>62032
68204	embplant_mt	atp8,cox3,sdh4	atp8>>cox3>>sdh4	atp8>>cox3>>sdh4	atp8(70-549,embplant_mt)>>cox3(2838-3635,embplant_mt)>>sdh4(3563-3947,embplant_mt)
68206	embplant_mt	ccmB,ccmC	ccmC>>ccmB	ccmC>>ccmB	ccmC(134-852,embplant_mt)>>ccmB(6948-7576,embplant_mt)
68298	embplant_mt	nad3,rps12,sdh3	rps12>>nad3>>sdh3>>15894	rps12>>nad3>>sdh3>>15894	rps12(8243-8620,embplant_mt)>>nad3(8669-9025,embplant_mt)>>sdh3(9618-9791,embplant_mt)>>15894
68466	embplant_mt	rpl16,rps3,rps4	rps4>>rps3>>rpl16>>4604	rps4>>rps3>>rpl16>>4604	rps4(3527-4540,embplant_mt)>>rps3(5009-8177,embplant_mt)>>rpl16(8023-8580,embplant_mt)>>4604
68536	embplant_pt	ycf2	ycf2>>18130	ycf2>>18130	ycf2(1-287,embplant_pt)>>18130
68552	embplant_pt	ycf3	ycf3>>17676	ycf3>>17676	ycf3(10157-10308,embplant_pt)>>17676
68590	embplant_pt	ndhB,ycf15,ycf2	ndhB>>ycf15>>ycf2>>69546	ndhB>>ycf15>>ycf2>>69546	ndhB(1-1087,embplant_pt)>>ycf15(2165-2267,embplant_pt)>>ycf2(2383-2815,embplant_pt)>>69546
68626	embplant_pt	ycf1	ycf1>>69576	ycf1>>69576	ycf1(2-1509,embplant_pt)>>69576
68630	embplant_pt	rps4	rps4>>68706	rps4>>68706	rps4(1283-1451,embplant_pt)>>68706
68634	embplant_mt;embplant_pt	sdh3;ycf2	ycf2>>sdh3>>15894	ycf2>>sdh3>>15894	ycf2(6-185,embplant_pt)>>sdh3(1338-1540,embplant_mt)>>15894
