EDGE	database	loci	loci_gene_sequential	loci_sequential	details
10366	embplant_pt	psaA	psaA>>51380	psaA>>51380	psaA(1-144,embplant_pt)>>51380
10676	embplant_pt	ycf2	ycf2>>13282	ycf2>>13282	ycf2(1-251,embplant_pt)>>13282
11754	embplant_pt	rrn23	rrn23	rrn23	rrn23(1-435,embplant_pt)
1280	embplant_pt	rpl2	rpl2>>50614	rpl2>>50614	rpl2(1-75,embplant_pt)>>50614
12996	embplant_pt	rrn23	rrn23>>51326	rrn23>>51326	rrn23(491-565,embplant_pt)>>51326
13282	embplant_pt	ycf2	ycf2>>50512	ycf2>>50512	ycf2(1-114,embplant_pt)>>50512
13614	embplant_pt	psbB	psbB>>51356	psbB>>51356	psbB(1-266,embplant_pt)>>51356
14062	embplant_pt	rpoC1	rpoC1>>51350	rpoC1>>51350	rpoC1(1-375,embplant_pt)>>51350
3136	embplant_pt	psaA	psaA>>51422	psaA>>51422	psaA(1-216,embplant_pt)>>51422
3138	embplant_pt	psaA	psaA>>51422	psaA>>51422	psaA(1-75,embplant_pt)>>51422
3176	embplant_pt	psaA	psaA>>51210	psaA>>51210	psaA(1-316,embplant_pt)>>51210
4120	embplant_pt	rps12_2	rps12_2	rps12_2	rps12_2(1-91,embplant_pt)
436	embplant_pt	rbcL	rbcL>>51404	rbcL>>51404	rbcL(1-277,embplant_pt)>>51404
46600	embplant_pt	rps4	rps4>>47378	rps4>>47378	rps4(22-142,embplant_pt)>>47378
46760	embplant_pt	rps4	rps4>>50348	rps4>>50348	rps4(1-174,embplant_pt)>>50348
47014	embplant_pt	ndhK	ndhK>>51308	ndhK>>51308	ndhK(68-265,embplant_pt)>>51308
47122	embplant_pt	ycf2	ycf2	ycf2	ycf2(6-185,embplant_pt)
47378	embplant_pt	rps4	rps4>>46600	rps4>>46600	rps4(1-311,embplant_pt)>>46600
47620	embplant_pt	ycf2	ycf2>>51386	ycf2>>51386	ycf2(1-591,embplant_pt)>>51386
48548	embplant_pt	ycf2	ycf2>>50752	ycf2>>50752	ycf2(1-168,embplant_pt)>>50752
48924	embplant_pt	rpoC2	rpoC2>>51284	rpoC2>>51284	rpoC2(1-300,embplant_pt)>>51284
48952	embplant_pt	psbC	psbC	psbC	psbC(1-124,embplant_pt)
49058	embplant_pt	ycf2	ycf2	ycf2	ycf2(1-75,embplant_pt)
49518	embplant_pt	rpl2	rpl2>>50822	rpl2>>50822	rpl2(85-159,embplant_pt)>>50822
49544	embplant_pt	ycf3	ycf3>>51362	ycf3>>51362	ycf3(31-175,embplant_pt)>>51362
49584	embplant_pt	rbcL	rbcL>>51404	rbcL>>51404	rbcL(1-609,embplant_pt)>>51404
50026	embplant_pt	rpoC1	rpoC1>>51186	rpoC1>>51186	rpoC1(6-383,embplant_pt)>>51186
50060	embplant_pt	psaA	psaA>>51422	psaA>>51422	psaA(1-291,embplant_pt)>>51422
50142	embplant_pt	psbC	psbC>>50678	psbC>>50678	psbC(1-124,embplant_pt)>>50678
50512	embplant_pt	ycf2	ycf2>>13282	ycf2>>13282	ycf2(1-287,embplant_pt)>>13282
