sample	organelle_type	fastq_format	mean_error_rate	trim_percent	trim_int	trim_chars	mean_read_len	max_read_len	num_reads_1	seed_read_filesize	estimated_base_coverage	closest_seed	unmapped_percentage	unmapped_lengths	num_reads_2	w	k	max_extending_len	pre_w	mem_dup	mem_used	n_unique_reads	n_reads	n_bases	dup_used	mem_group	rounds	accepted_lines	accepted_words	mem_extending	circular	degenerate_base_used	library_size	library_deviation	library_left	library_right	res_kmer	res_kmer_cov	res_base_cov	res_path_count	res_len	time	mem_spades	mem_max
auto--SRR5754079-mitogenome	fungus_mt	Illumina 1.8+	0.0061	0.00%	33..33	!	150.0	150	6605890+6605890	4683316	424.04					119	21,43,65,87,127	inf	119	3838627020	3710851743	11311481	13211780	1981767000	200000/1261455	4443143667	7	89214	829072	2811056095	no	no	266.683	25.1011	237.0	299.0	127	314.851	1969.767	1	859+1134+1313+1372+2601+3051+4491+5372	1508.31		4443143667
auto--SRR5764827-mitogenome	fungus_mt	Illumina 1.8+	0.0063	0.00%	33..33	!	150.0	150	15000000+15000000	5238996	59.48					84	21,43,65,87,127	inf	84	5581310001	5003636899	25787741	30000000	4500000000	200000/2934713	7690138943	10	14951661	178256822	32165010079	yes	no	279.48	22.9682	251.0	309.0	127	215.331	1347.139	1	34686	35874.51		32165010079
auto--SRR5764829-mitogenome	fungus_mt	Illumina 1.8+	0.0069	0.00%	33..33	!	150.0	150	10873346+10873346	7397496	496.83					119	21,43,65,87,127	inf	119	5051955281	4543001657	18939340	21746692	3262003800	200000/1837873	5247376293	7	223486	2064466	2977486077	yes	no	327.159	20.2477	302.0	353.0	127	451.245	2823.092	1	42070	3066.79		5247376293
auto--SRR5764835-mitogenome	fungus_mt	Illumina 1.8+	0.0039	0.00%	33..33	!	150.0	150	5193658+5193658	31154312	711.09				3651920+3651920	119	21,43,65,87,127	inf	119	2702608171	2313913630	6139227	7303840	1095576000	200000/897480	4156454600	5	38123	796264	2676838367	no	no	286.624	21.0021	261.0	314.0	127	95.795	599.027	1	718+808+1198+3464+3620+3790+4481+5017+5357	964.16		4156454600
auto--SRR5765276-mitogenome	fungus_mt	Illumina 1.8+	0.0054	0.00%	33..33	!	150.0	150	6476643+6476643	4652702	421.05					119	21,43,65,87,127	inf	119	3859028115	3734474063	10546021	12953286	1942992900	200000/1547349	4469987213	10	87575	738562	2852932026	no	no	218.391	23.051	190.0	249.0	127	254.37	1591.377	1	36361	1726.66		4469987213
auto--SRR5765278-mitogenome	fungus_mt	Illumina 1.8+	0.0058	0.00%	33..33	!	150.0	150	11844696+11844696	33007690	719.70				8228861+8228861	119	21,43,65,87,127	inf	119	4038343000	3737695289	14799331	16457722	2468658300	200000/1371858	4766339956	10	86302	1239566	3004329623	no	no	294.593	18.9716	271.0	319.0	127	87.827	549.465	1	1045+2003+2032+2166+5665+6397+6892+8137+11644	2620.87		4766339956
auto--SRR5801922-mitogenome	fungus_mt	Illumina 1.8+	0.0124	0.00%	33..33	!	150.0	150	5148349+5148349	39776482	738.81				3484219+3484219	119	21,43,65,87,127	inf	119	2590939021	2199023255	5709984	6968438	1045265700	200000/826424	4116726153	10	117038	2930372	2637109919	no	no	646.054	33.2463	606.0	691.0	127	97.24	607.977	1	2932+4323+4768+7325+12036+16244	1518.76		4116726153
auto--SRR5801929-mitogenome	fungus_mt	Illumina 1.8+	0.006	0.00%	33..33	!	150.0	150	7569050+7569050	31762720	793.72				4768094+4768094	119	21,43,65,87,127	inf	119	2940978855	2534030704	6497087	9536188	1430428200	200000/1775397	4376571674	5	32848	853220	2506113417	no	no	316.994	20.8272	291.0	344.0	127	86.791	542.64	1	732+910+947+1039+1127+1208+1564+1602+1636+2160+2954+3366+3386	1187.95		4376571674
auto--SRR5801932-mitogenome	fungus_mt	Illumina 1.8+	0.0039	0.00%	33..33	!	150.0	150	7372273+7372273	128867922	845.87				4357824+4357824	119	21,43,65,87,127	inf	119	3128883675	2723009265	7145097	8715648	1307347200	200000/1075714	3666828328	5	166999	4794888	2346125885	no	no	300.101	18.9987	276.0	325.0	127	91.141	569.946	1	4938+6322+7076+8714+10294+16194+18294	3092.71		3666828328
auto--SRR5801933-mitogenome	fungus_mt	Illumina 1.8+	0.0036	0.00%	33..33	!	150.0	150	9895176+9895176	2883200	260.97					112	21,43,65,87,127	inf	112	4340064452	3845069471	15870668	19790352	2968552800	200000/2764790	5673651798	9	91356	835454	3262027661	yes	no	247.754	23.6388	218.0	279.0	127	177.995	1113.1	1	39372	2585.2		5673651798
