EDGE	database	loci	loci_gene_sequential	loci_sequential	details
10112	embplant_pt	ndhB	ndhB>>52912	ndhB>>52912	ndhB(790-864,embplant_pt)>>52912
10666	embplant_pt	psaA	psaA>>52882	psaA>>52882	psaA(1-144,embplant_pt)>>52882
10978	embplant_pt	ycf2	ycf2>>13668	ycf2>>13668	ycf2(1-251,embplant_pt)>>13668
1324	embplant_pt	rpl2	rpl2>>52110	rpl2>>52110	rpl2(1-75,embplant_pt)>>52110
13668	embplant_pt	ycf2	ycf2>>52004	ycf2>>52004	ycf2(1-114,embplant_pt)>>52004
13996	embplant_pt	psbB	psbB>>52858	psbB>>52858	psbB(1-266,embplant_pt)>>52858
14462	embplant_pt	rpoC1	rpoC1>>52852	rpoC1>>52852	rpoC1(1-375,embplant_pt)>>52852
3234	embplant_pt	psaA	psaA>>52924	psaA>>52924	psaA(1-216,embplant_pt)>>52924
3236	embplant_pt	psaA	psaA>>52924	psaA>>52924	psaA(1-75,embplant_pt)>>52924
3274	embplant_pt	psaA	psaA>>52712	psaA>>52712	psaA(1-316,embplant_pt)>>52712
4392	embplant_pt	ndhB	ndhB>>52912	ndhB>>52912	ndhB(1032-1401,embplant_pt)>>52912
464	embplant_pt	rbcL	rbcL>>52906	rbcL>>52906	rbcL(1-277,embplant_pt)>>52906
46956	embplant_pt	rps4	rps4>>52132	rps4>>52132	rps4(940-1113,embplant_pt)>>52132
47954	embplant_pt	rps4	rps4>>48756	rps4>>48756	rps4(22-142,embplant_pt)>>48756
48382	embplant_pt	ndhK	ndhK>>52810	ndhK>>52810	ndhK(68-265,embplant_pt)>>52810
48756	embplant_pt	rps4	rps4>>47954	rps4>>47954	rps4(1-311,embplant_pt)>>47954
49014	embplant_pt	ycf2	ycf2>>52888	ycf2>>52888	ycf2(1-591,embplant_pt)>>52888
49952	embplant_pt	rrn23	rrn23>>52816	rrn23>>52816	rrn23(3993-4476,embplant_pt)>>52816
49970	embplant_pt	ycf2	ycf2>>52256	ycf2>>52256	ycf2(1-168,embplant_pt)>>52256
50138	embplant_mt;embplant_pt	rps13;rrn23	rps13>>rrn23>>52828	rps13>>rrn23>>52828	rps13(182-532,embplant_mt)>>rrn23(828-902,embplant_pt)>>52828
50362	embplant_pt	rpoC2	rpoC2>>52786	rpoC2>>52786	rpoC2(1-300,embplant_pt)>>52786
50978	embplant_pt	rpl2	rpl2>>52328	rpl2>>52328	rpl2(85-159,embplant_pt)>>52328
51004	embplant_pt	ycf3	ycf3>>52864	ycf3>>52864	ycf3(31-175,embplant_pt)>>52864
51044	embplant_pt	rbcL	rbcL>>52906	rbcL>>52906	rbcL(1-609,embplant_pt)>>52906
51452	embplant_mt	nad3,rps12,sdh3	sdh3>>nad3>>rps12	sdh3>>nad3>>rps12	sdh3(1-174,embplant_mt)>>nad3(767-1123,embplant_mt)>>rps12(1172-1549,embplant_mt)
51498	embplant_pt	rpoC1	rpoC1>>52688	rpoC1>>52688	rpoC1(6-383,embplant_pt)>>52688
51532	embplant_pt	psaA	psaA>>52924	psaA>>52924	psaA(1-291,embplant_pt)>>52924
51618	embplant_pt	psbC	psbC>>52176	psbC>>52176	psbC(1-124,embplant_pt)>>52176
51704	embplant_pt	ycf3	ycf3>>13348	ycf3>>13348	ycf3(5376-5527,embplant_pt)>>13348
51836	embplant_pt	rrn23	rrn23>>52828	rrn23>>52828	rrn23(678-752,embplant_pt)>>52828
52004	embplant_pt	ycf2	ycf2>>13668	ycf2>>13668	ycf2(1-287,embplant_pt)>>13668
52034	embplant_pt	psbC	psbC	psbC	psbC(1-124,embplant_pt)
