EDGE	database	loci	loci_gene_sequential	loci_sequential	details
10058996	embplant_pt	ycf2	ycf2>>2617120	ycf2>>2617120	ycf2(268-5187,embplant_pt)>>2617120
10058998	embplant_mt	ccmC	ccmC	ccmC	ccmC(201-919,embplant_mt)
1623904	embplant_pt	ndhB	ndhB	ndhB	ndhB(1-370,embplant_pt)
1698256	embplant_pt	psaA,rpl2	rpl2>>psaA>>9837648	rpl2>>psaA>>9837648	rpl2(3-75,embplant_pt)>>psaA(63-130,embplant_pt)>>9837648
2039100	embplant_pt	psaA	psaA>>9858740	psaA>>9858740	psaA(1-144,embplant_pt)>>9858740
2090752	embplant_pt	ycf2	ycf2>>2617120	ycf2>>2617120	ycf2(1-251,embplant_pt)>>2617120
21604	embplant_mt	rrn5	rrn5>>651078	rrn5>>651078	rrn5(241-356,embplant_mt)>>651078
254484	embplant_pt	rpl2	rpl2>>9411080	rpl2>>9411080	rpl2(1-75,embplant_pt)>>9411080
2617120	embplant_pt	ycf2	ycf2>>9382790	ycf2>>9382790	ycf2(1-114,embplant_pt)>>9382790
2675850	embplant_pt	psbB	psbB>>9855426	psbB>>9855426	psbB(1-266,embplant_pt)>>9855426
2775970	embplant_pt	rpoC1	rpoC1>>9855298	rpoC1>>9855298	rpoC1(1-375,embplant_pt)>>9855298
603144	embplant_pt	psaA	psaA>>9863392	psaA>>9863392	psaA(1-216,embplant_pt)>>9863392
81348	embplant_pt	rbcL	rbcL>>9861500	rbcL>>9861500	rbcL(1-277,embplant_pt)>>9861500
8695704	embplant_pt	psbZ	psbZ>>9429904	psbZ>>9429904	psbZ(226-345,embplant_pt)>>9429904
8757156	embplant_pt	psaA	psaA>>9863392	psaA>>9863392	psaA(1-75,embplant_pt)>>9863392
8832642	embplant_pt	rps4	rps4>>9422386	rps4>>9422386	rps4(940-1113,embplant_pt)>>9422386
8871232	embplant_pt	rps12_2	rps12_2>>9846552	rps12_2>>9846552	rps12_2(1468-1558,embplant_pt)>>9846552
8894974	embplant_pt	rps4	rps4>>8949698	rps4>>8949698	rps4(22-142,embplant_pt)>>8949698
8922770	embplant_pt	ndhK	ndhK>>9850786	ndhK>>9850786	ndhK(68-265,embplant_pt)>>9850786
8944438	embplant_pt	rps4	rps4>>8894974	rps4>>8894974	rps4(1-312,embplant_pt)>>8894974
8949698	embplant_pt	rps4	rps4>>8894974	rps4>>8894974	rps4(1-311,embplant_pt)>>8894974
8962176	embplant_mt	matR	matR	matR	matR(150-1545,embplant_mt)
8967978	embplant_pt	ycf2	ycf2>>9861418	ycf2>>9861418	ycf2(1-591,embplant_pt)>>9861418
9010808	embplant_mt;embplant_pt	atp1;atpA	atp1>>atpA	atp1>>atpA	atp1(388-1904,embplant_mt)>>atpA(663-1093,embplant_pt)
9027684	embplant_pt	ycf2	ycf2>>9448660	ycf2>>9448660	ycf2(1-168,embplant_pt)>>9448660
9039412	embplant_mt;embplant_pt	rps13;rrn23	rps13>>rrn23>>9855750	rps13>>rrn23>>9855750	rps13(182-532,embplant_mt)>>rrn23(828-902,embplant_pt)>>9855750
9052474	embplant_mt	rpl16	rpl16	rpl16	rpl16(985-1161,embplant_mt)
9064554	embplant_pt	rpoC2	rpoC2>>9847962	rpoC2>>9847962	rpoC2(1-300,embplant_pt)>>9847962
9066906	embplant_pt	psbC	psbC	psbC	psbC(1-124,embplant_pt)
9152574	embplant_pt	ycf3	ycf3>>9856256	ycf3>>9856256	ycf3(31-175,embplant_pt)>>9856256
9159458	embplant_pt	rbcL	rbcL>>9861500	rbcL>>9861500	rbcL(1-609,embplant_pt)>>9861500
9191496	embplant_pt	ycf3	ycf3>>2550438	ycf3>>2550438	ycf3(957-1108,embplant_pt)>>2550438
9197432	embplant_pt	ycf2	ycf2	ycf2	ycf2(1-75,embplant_pt)
9250630	embplant_mt;embplant_pt	rrnS;rrn16	rrnS>>rrn16>>rrnS>>rrn16	rrnS>>rrn16>>rrnS>>rrn16	rrnS(139-680,embplant_mt)>>rrn16(307-568,embplant_pt)>>rrnS(791-2052,embplant_mt)>>rrn16(938-1796,embplant_pt)
9252148	embplant_pt	psbT	psbT>>9799188	psbT>>9799188	psbT(1108-1179,embplant_pt)>>9799188
9259092	embplant_pt	rpoC1	rpoC1>>9833848	rpoC1>>9833848	rpoC1(6-383,embplant_pt)>>9833848
9266254	embplant_pt	psaA	psaA>>9863392	psaA>>9863392	psaA(1-291,embplant_pt)>>9863392
9277132	embplant_mt	rpl2	rpl2	rpl2	rpl2(2435-2560,embplant_mt)
9279784	embplant_pt	ndhB	ndhB	ndhB	ndhB(1-75,embplant_pt)
9281530	embplant_pt	psbC	psbC>>9429904	psbC>>9429904	psbC(1-124,embplant_pt)>>9429904
9297386	embplant_pt	rrn23	rrn23>>9850162	rrn23>>9850162	rrn23(1283-1766,embplant_pt)>>9850162
9327502	embplant_pt	rbcL	rbcL>>9863942	rbcL>>9863942	rbcL(1112-1226,embplant_pt)>>9863942
9336742	embplant_pt	rrn23	rrn23>>9855750	rrn23>>9855750	rrn23(1305-1379,embplant_pt)>>9855750
9341350	embplant_mt	rps3,rps4	rps4>>rps3	rps4>>rps3	rps4(80-632,embplant_mt)>>rps3(1101-1174,embplant_mt)
9341836	embplant_mt	nad4	nad4	nad4	nad4(106-547,embplant_mt)
9368344	embplant_mt	cox1	cox1	cox1	cox1(927-1638,embplant_mt)
9382790	embplant_pt	ycf2	ycf2>>2617120	ycf2>>2617120	ycf2(1-287,embplant_pt)>>2617120
9393562	embplant_pt	ndhB,ycf15,ycf2	ndhB>>ycf15>>ycf2>>9861418	ndhB>>ycf15>>ycf2>>9861418	ndhB(1-1087,embplant_pt)>>ycf15(2165-2267,embplant_pt)>>ycf2(2383-2815,embplant_pt)>>9861418
9393912	embplant_pt	psaA	psaA>>9858740	psaA>>9858740	psaA(8-323,embplant_pt)>>9858740
9397528	embplant_pt	rbcL	rbcL>>377694	rbcL>>377694	rbcL(1-289,embplant_pt)>>377694
9402782	embplant_pt	ycf1	ycf1>>9865314	ycf1>>9865314	ycf1(2-1509,embplant_pt)>>9865314
9403210	embplant_pt	rps4	rps4>>9422386	rps4>>9422386	rps4(1283-1451,embplant_pt)>>9422386
9410748	embplant_pt	psaB	psaB>>9837648	psaB>>9837648	psaB(1759-1830,embplant_pt)>>9837648
9411080	embplant_pt	rpl23	rpl23>>9416592	rpl23>>9416592	rpl23(136-417,embplant_pt)>>9416592
9411344	embplant_pt	rpoC1	rpoC1	rpoC1	rpoC1(125-901,embplant_pt)
